Adding shard node URL: jdbc:postgresql://10.0.0.98:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 300053
[OVERALL], Throughput(ops/sec), 236.61819745178352
[TOTAL_GCS_Copy], Count, 1
[TOTAL_GC_TIME_Copy], Time(ms), 8
[TOTAL_GC_TIME_%_Copy], Time(%), 0.0026661956387704837
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 1
[TOTAL_GC_TIME], Time(ms), 8
[TOTAL_GC_TIME_%], Time(%), 0.0026661956387704837
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 341.0
[CLEANUP], MinLatency(us), 341
[CLEANUP], MaxLatency(us), 341
[CLEANUP], 99thPercentileLatency(us), 341
[CLEANUP], 99.9PercentileLatency(us), 341
[UPDATE], Operations, 70998
[UPDATE], AverageLatency(us), 4210.9584072790785
[UPDATE], MinLatency(us), 2476
[UPDATE], MaxLatency(us), 274943
[UPDATE], 99thPercentileLatency(us), 8567
[UPDATE], 99.9PercentileLatency(us), 20031
[UPDATE], Return=OK, 70998
