Adding shard node URL: jdbc:postgresql://10.0.0.32:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 300064
[OVERALL], Throughput(ops/sec), 728.20798229711
[TOTAL_GCS_Copy], Count, 5
[TOTAL_GC_TIME_Copy], Time(ms), 33
[TOTAL_GC_TIME_%_Copy], Time(%), 0.01099765383384878
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 5
[TOTAL_GC_TIME], Time(ms), 33
[TOTAL_GC_TIME_%], Time(%), 0.01099765383384878
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 355.0
[CLEANUP], MinLatency(us), 355
[CLEANUP], MaxLatency(us), 355
[CLEANUP], 99thPercentileLatency(us), 355
[CLEANUP], 99.9PercentileLatency(us), 355
[UPDATE], Operations, 218509
[UPDATE], AverageLatency(us), 1366.1810177155173
[UPDATE], MinLatency(us), 916
[UPDATE], MaxLatency(us), 119551
[UPDATE], 99thPercentileLatency(us), 3827
[UPDATE], 99.9PercentileLatency(us), 14623
[UPDATE], Return=OK, 218509
