Adding shard node URL: jdbc:postgresql://10.0.0.32:26257/ycsb?sslmode=disable
Using shards: 1, batchSize:-1, fetchSize: -1
[OVERALL], RunTime(ms), 900049
[OVERALL], Throughput(ops/sec), 421.0837409963235
[TOTAL_GCS_Copy], Count, 9
[TOTAL_GC_TIME_Copy], Time(ms), 57
[TOTAL_GC_TIME_%_Copy], Time(%), 0.006332988537290748
[TOTAL_GCS_MarkSweepCompact], Count, 0
[TOTAL_GC_TIME_MarkSweepCompact], Time(ms), 0
[TOTAL_GC_TIME_%_MarkSweepCompact], Time(%), 0.0
[TOTAL_GCs], Count, 9
[TOTAL_GC_TIME], Time(ms), 57
[TOTAL_GC_TIME_%], Time(%), 0.006332988537290748
[CLEANUP], Operations, 1
[CLEANUP], AverageLatency(us), 328.0
[CLEANUP], MinLatency(us), 328
[CLEANUP], MaxLatency(us), 328
[CLEANUP], 99thPercentileLatency(us), 328
[CLEANUP], 99.9PercentileLatency(us), 328
[UPDATE], Operations, 378996
[UPDATE], AverageLatency(us), 2368.908508269217
[UPDATE], MinLatency(us), 901
[UPDATE], MaxLatency(us), 260095
[UPDATE], 99thPercentileLatency(us), 6047
[UPDATE], 99.9PercentileLatency(us), 15463
[UPDATE], Return=OK, 378996
